date,PriceBTC,PriceUSD
1/23/2014,1.90E-06,0.001540753
1/24/2014,2.42E-06,0.001887939
1/25/2014,2.41E-06,0.001936749
1/26/2014,2.38E-06,0.001936749
1/27/2014,2.18E-06,0.001617744
1/28/2014,2.09E-06,0.001650983
1/29/2014,0.00000199,0.001578835
1/30/2014,2.05E-06,0.0016392
1/31/2014,2.39E-06,0.001919738
2/1/2014,1.84E-06,0.001496324
2/2/2014,0.00000173,0.001409069
2/3/2014,0.0000016,0.001291196
2/4/2014,1.38E-06,0.001103717
2/5/2014,1.62E-06,0.001273974
2/6/2014,1.67E-06,0.001275161
2/7/2014,1.54E-06,0.00109582
2/8/2014,1.64E-06,0.001111399
2/9/2014,1.86E-06,0.001278575
2/10/2014,2.12E-06,0.00145203
2/11/2014,0.00000261,0.001753658
2/12/2014,2.69E-06,0.001760993
2/13/2014,2.44E-06,0.001493211
2/14/2014,2.35E-06,0.001569415
2/15/2014,2.30E-06,0.001505315
2/16/2014,2.32E-06,0.001445798
2/17/2014,2.21E-06,0.001395249
2/18/2014,2.16E-06,0.001352066
2/19/2014,0.00000207,0.001290728
2/20/2014,2.09E-06,0.001179097
2/21/2014,1.87E-06,0.001087785
2/22/2014,2.09E-06,0.001271611
2/23/2014,1.85E-06,0.001129759
2/24/2014,1.82E-06,0.000989276
2/25/2014,1.78E-06,0.00094938
2/26/2014,2.08E-06,0.001220163
2/27/2014,1.98E-06,0.001157987
2/28/2014,1.88E-06,0.001038425
3/1/2014,1.87E-06,0.001058557
3/2/2014,1.74E-06,0.000973493
3/3/2014,1.60E-06,0.00108388
3/4/2014,1.55E-06,0.001047849
3/5/2014,1.59E-06,0.001066081
3/6/2014,1.52E-06,0.001011685
3/7/2014,1.46E-06,0.000922514
3/8/2014,0.0000014,0.000870134
3/9/2014,1.37E-06,0.000877593
3/10/2014,1.24E-06,0.000778191
3/11/2014,1.22E-06,0.000773175
3/12/2014,1.46E-06,0.000924314
3/13/2014,1.35E-06,0.000865936
3/14/2014,1.38E-06,0.000866596
3/15/2014,1.32E-06,0.00084014
3/16/2014,1.33E-06,0.000843405
3/17/2014,1.24E-06,0.000772937
3/18/2014,1.24E-06,0.000760205
3/19/2014,1.25E-06,0.000764353
3/20/2014,1.23E-06,0.000720234
3/21/2014,1.21E-06,0.000687757
3/22/2014,1.20E-06,0.000677907
3/23/2014,1.23E-06,0.000684881
3/24/2014,1.13E-06,0.0006636
3/25/2014,1.12E-06,0.000652534
3/26/2014,1.05E-06,0.000611075
3/27/2014,1.03E-06,0.000499792
3/28/2014,1.06E-06,0.000527141
3/29/2014,1.27E-06,0.000620129
3/30/2014,1.14E-06,0.00052467
3/31/2014,1.10E-06,0.000499262
4/1/2014,1.09E-06,0.000521416
4/2/2014,1.05E-06,0.000460914
4/3/2014,0.00000101,0.000453936
4/4/2014,1.03E-06,0.000464601
4/5/2014,1.02E-06,0.000468628
4/6/2014,1.01E-06,0.0004637
4/7/2014,1.02E-06,0.000456215
4/8/2014,1.00E-06,0.000452922
4/9/2014,1.01E-06,0.000446302
4/10/2014,9.33E-07,0.000342293
4/11/2014,1.06E-06,0.000448208
4/12/2014,9.87E-07,0.000418704
4/13/2014,9.30E-07,0.000387217
4/14/2014,9.59E-07,0.000442203
4/15/2014,1.09E-06,0.000570523
4/16/2014,1.30E-06,0.0006916
4/17/2014,1.28E-06,0.000638872
4/18/2014,1.21E-06,0.000586627
4/19/2014,1.24E-06,0.000625488
4/20/2014,1.23E-06,0.000619266
4/21/2014,1.22E-06,0.000607663
4/22/2014,1.19E-06,0.000584115
4/23/2014,1.18E-06,0.000577497
4/24/2014,1.17E-06,0.000588354
4/25/2014,1.10E-06,0.000512141
4/26/2014,1.04E-06,0.000477325
4/27/2014,1.03E-06,0.000452005
4/28/2014,1.10E-06,0.000487148
4/29/2014,1.12E-06,0.000501891
4/30/2014,1.11E-06,0.000500042
5/1/2014,1.10E-06,0.000504395
5/2/2014,1.09E-06,0.000494114
5/3/2014,1.13E-06,0.000494114
5/4/2014,1.06E-06,0.000463955
5/5/2014,1.04E-06,0.000449682
5/6/2014,1.06E-06,0.000455264
5/7/2014,1.06E-06,0.000469412
5/8/2014,1.06E-06,0.00046692
5/9/2014,1.08E-06,0.000488783
5/10/2014,1.05E-06,0.000478726
5/11/2014,1.03E-06,0.00045253
5/12/2014,1.02E-06,0.000450155
5/13/2014,1.01E-06,0.000443396
5/14/2014,1.02E-06,0.000455802
5/15/2014,1.01E-06,0.000449355
5/16/2014,9.92E-07,0.000445057
5/17/2014,1.01E-06,0.0004522
5/18/2014,1.01E-06,0.000451432
5/19/2014,9.80E-07,0.000438457
5/20/2014,9.69E-07,0.000475161
5/21/2014,9.31E-07,0.000459605
5/22/2014,7.97E-07,0.000419808
5/23/2014,7.69E-07,0.000402485
5/24/2014,8.11E-07,0.000428213
5/25/2014,7.30E-07,0.000418518
5/26/2014,6.22E-07,0.000364048
5/27/2014,6.80E-07,0.000390398
5/28/2014,6.95E-07,0.00040241
5/29/2014,6.78E-07,0.00038667
5/30/2014,5.92E-07,0.000367802
5/31/2014,5.33E-07,0.000334454
6/1/2014,6.41E-07,0.000404014
6/2/2014,5.96E-07,0.000395744
6/3/2014,5.79E-07,0.000389225
6/4/2014,5.54E-07,0.000356519
6/5/2014,5.27E-07,0.000348868
6/6/2014,5.52E-07,0.000358829
6/7/2014,5.50E-07,0.000361385
6/8/2014,5.50E-07,0.000362036
6/9/2014,5.48E-07,0.000355529
6/10/2014,5.99E-07,0.000389918
6/11/2014,6.74E-07,0.000425646
6/12/2014,6.20E-07,0.000367071
6/13/2014,6.30E-07,0.000376138
6/14/2014,6.50E-07,0.000374114
6/15/2014,6.20E-07,0.000365629
